Index,Actual Label,Predicted Label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30
0,25,25,0.6163562275532065,0.21098594959606967,0.12349134157225768,-0.7813035286456042,-0.07176331635193464,0.060784956457349625,0.19993081140216337,0.30735925943335773,0.2733373109210679,-1.372939171343547,0.7235440005774258,0.8582335403259259,-1.031445990510402,-0.6314927622794564,-0.539222145879583,-1.3263232239455036,-0.032420738849390986,0.20666802453933739,-1.190386021651107,-0.12193477317143014,0.1460222130647919,-0.7407809660996255,-0.15099558623767564,0.12433571661751068,0.09932613307890971,0.2877918487832179,0.27127753748340316,-0.5259983951381101,-0.27259114041775684,-0.2119230251764579,-0.9448976562566602
1,18,18,-0.9155055283108209,-0.49658005711856096,-0.3639650974969346,-1.3337034068897424,-0.32096239848191876,-0.09384246018736879,-1.0719213489965465,-0.6731164678205447,-0.4684189629541779,-1.0025696134385764,0.8845451495834415,0.9851284560341246,-1.2378933184807153,0.641424422340502,0.7564230984459698,-1.309322363975564,0.13103897457408403,0.3665781616155776,-1.34262413067813,-0.4388804467387854,-0.1360166270825326,-0.4801361719805279,-0.549775993450579,-0.39392044484487704,-1.224534890370896,-0.224801927033178,-0.06418270943836933,-0.8119064814850183,-0.802470493782368,-0.7032639203333386,-0.4541148567256965
2,6,6,0.47878611841007807,-0.7353642025547621,-0.7902984721060401,-1.0433393683255159,-0.1241312394082357,0.05299365251788709,0.0441198629772503,-0.030861225116393387,-0.04062572576434214,-0.5881957516241044,-1.1068939552892512,-1.0580535155195296,-0.5658413784922495,-1.0721948475610128,-1.0237854446861674,-1.343324083915443,-0.82329536733064,-0.578790962938593,0.29212318292156664,-0.2583521120522248,-0.32349909307641894,-0.5093463644249097,2.5987914430070376,2.923262204515373,-0.06517730770479374,0.45490866303243177,0.4574201406625521,0.2632689981575787,-0.6927947174001668,-0.7110767614224057,-0.48455099933226825
3,22,22,-0.6515196431983303,-0.7643077353349076,-0.6639774722218608,-1.3230803323081244,-0.2397018282221413,-0.01473075864821056,-0.6914527540054793,-0.7240313794731954,-0.5986169047076062,-1.2849305635245443,-0.36304100719922566,-0.24349245386388704,-0.7415412320840051,-0.08801351191862583,-0.02056291959074693,-1.1665151402280711,-0.09878784054012503,0.11170223432164697,-0.962028858110573,-0.6185919111326468,-0.4009375029434589,-0.6756197675698509,0.22000094014482055,0.4890027176465086,-1.1187826784385149,-0.15018708030417122,-0.004152981041841656,-1.130029563476648,-0.5976542848758476,-0.46714250075264696,-1.0171834949472673
4,10,10,0.5754570059160605,-0.6552526386097163,-0.7245911778114468,-0.2572318492857805,-0.46662949479944565,-0.4210772256447963,-0.32547820072835765,-0.8294979821822577,-0.7816380114009969,0.5155788714392241,-0.5250786442889711,-0.5772434650416153,0.3609753492042623,-0.904632076478461,-0.940350704494305,-0.3198723137250783,-0.5252579199231762,-0.46605737971243144,0.234127712816034,-0.05740202004817981,-0.1099321100746876,-0.8059421646293998,-0.3168816982545188,-0.024963243803773166,-1.8042136817039467,-0.14814283792803398,0.08614383730251515,0.3276989894470229,-0.6148324185260718,-0.6411952383479731,-0.655754301494232
5,26,26,0.534557784278914,-0.3012112108525782,-0.37007740394294336,-0.23952672498308375,0.3820920168026739,0.4209829308894264,0.40647090582588535,-0.3923570978502136,-0.48478670420318026,0.2992243772175085,0.9025109430347565,0.8797882931311541,0.22041546633085732,-0.7902574881023039,-0.8127918228548234,-0.8604996607691584,-0.6493889804928826,-0.49240272796637136,-0.5125639647926963,-0.5369048818627098,-0.4205008906993427,-0.4464321037754725,-0.2229068072104943,-0.06357504391272592,-1.4830402973167156,-0.4087837408855234,-0.21249145018273188,-0.570294014149603,-0.713496570773514,-0.6416292850751434,-0.9068524779984463
6,20,20,-0.7407543085884679,-0.5105349747089883,-0.4016576539139881,0.011886040115210343,-0.49552214200292205,-0.49539427860582375,-0.3291017111568441,-0.19597101004713216,-0.13288026734962843,0.06820178169262577,-0.5399349734890969,-0.5497785380801147,-0.2759366200658528,-0.5719060012023677,-0.5484481027277214,-0.14306337003770647,-0.4349249203996769,-0.4078525405467502,-0.18633944544907635,-0.3228848651754749,-0.2802966117821756,-0.3071219551945754,-0.5023799614457668,-0.4102232048908793,-0.5939383673666987,-0.5079294961281762,-0.42486553131666605,0.5370964611377158,-0.4351227126468023,-0.4866746034753145,0.07851763888930272
8,15,15,0.664691671306198,-1.065630585528209,-1.1412467338810386,-0.09788573056150968,-0.2282651553707653,-0.2107120192793072,0.9536209805273246,-0.446908788906625,-0.6529280461247506,0.7466014669641068,-1.0740718326378103,-1.1515733301099558,0.6289176259316895,-0.44033523345496994,-0.49910929001811066,0.5165699967959505,-1.0309998152146043,-1.1210149909557292,0.4733590270013558,-0.3490247145418548,-0.4547368192721394,0.3512308437441788,-0.7181136243642228,-0.8881514862394719,0.7965073821146059,-0.8017893376978947,-0.8940054255080171,1.962610018416665,-0.8813137225872437,-1.0800164795172367,1.535647966178908
9,23,23,-0.6626739763720979,-0.4779735003313245,-0.3802645813529578,-0.7246471308769744,-0.36670908988742307,-0.24247656610942378,-0.9958276299983329,-0.560376306303961,-0.36872453898298135,-0.789882144542653,-0.12672172410885038,-0.05262859434662375,-0.579018867511631,-0.7474669952482871,-0.6968656694151688,-0.5170822893763778,-0.5252579199231762,-0.43052179369548915,-0.817040182846742,-0.1415396601962149,0.04249928618990685,-1.0441175799451266,0.10723107089199124,0.511311757709459,1.1020137721414842,1.1402409196324186,0.9835630542556479,-0.42935340820394413,-0.7487337680047433,-0.6915446586997382,-0.583468462803625
12,5,5,-0.7890897523414594,-0.5637704010724702,-0.44749995225905326,0.3482834018664483,-0.3065160748801805,-0.364140773779493,0.6275050419635526,-0.3727184890699054,-0.510082304315275,0.6402577325161449,-0.8488084224405521,-0.9148187065557547,0.035930620059514015,-0.5107195955326052,-0.5155555609213143,0.2887584731987598,-0.7704474900583886,-0.820187874846787,-0.18633944544907635,-0.6504498525479222,-0.6071682155367338,0.315279837658786,-0.32505342791052066,-0.4617056050361496,-0.625272356087404,0.19988942660931952,0.27783540697209946,-0.4696221527598467,-0.6254035776954407,-0.5656711078203253,1.4823847166174076
